ID,Taxon,Slope,SE,Sample_Size,Sex,Binary_Sex,Country ,Start_Year,End_Year,Duration,Month,NumMonth,Study_Type ,Numeric_Type,Reference,RefID,,,,
1,Apatura iris,-0.026,0.255,429,Female,1,UK,1830,2000,170,April,4,Museum,1,Wilson et al. (2023),14,,,,
2,Apatura iris,0.035,0.203,429,Female,1,UK,1830,2000,170,August,8,Museum,1,Wilson et al. (2023),14,,,,
3,Apatura iris,0.458,0.178,429,Female,1,UK,1830,2000,170,July,7,Museum,1,Wilson et al. (2023),14,,,,
4,Apatura iris,-0.401,0.251,429,Female,1,UK,1830,2000,170,June,6,Museum,1,Wilson et al. (2023),14,,,,
5,Apatura iris,-0.134,0.153,429,Female,1,UK,1830,2000,170,March,3,Museum,1,Wilson et al. (2023),14,,,,
6,Apatura iris,0.535,0.259,429,Female,1,UK,1830,2000,170,May,5,Museum,1,Wilson et al. (2023),14,,,,
7,Apatura iris,0.136,0.233,429,Female,1,UK,1830,2000,170,September,9,Museum,1,Wilson et al. (2023),14,,,,
8,Argynnis paphia,-0.251,0.059,1849,Female,1,UK,1815,1998,183,April,4,Museum,1,Wilson et al. (2023),14,,,,
9,Argynnis paphia,-0.054,0.052,1849,Female,1,UK,1815,1998,183,July,7,Museum,1,Wilson et al. (2023),14,,,,
10,Argynnis paphia,-0.104,0.074,1849,Female,1,UK,1815,1998,183,June,6,Museum,1,Wilson et al. (2023),14,,,,
11,Argynnis paphia,-0.037,0.047,1849,Female,1,UK,1815,1998,183,March,3,Museum,1,Wilson et al. (2023),14,,,,
12,Argynnis paphia,-0.004,0.06,1849,Female,1,UK,1815,1998,183,May,5,Museum,1,Wilson et al. (2023),14,,,,
13,Hesperia comma,0.1,0.07,873,Female,1,UK,1880,1971,91,April,4,Museum,0,Fenberg et al. (2016) ,3,,,,
14,Hesperia comma,-0.01,0.07,873,Female,1,UK,1880,1971,91,August,8,Museum,0,Fenberg et al. (2016) ,3,,,,
15,Hesperia comma,0.06,0.07,873,Female,1,UK,1880,1971,91,July,7,Museum,0,Fenberg et al. (2016) ,3,,,,
16,Hesperia comma,0.09,0.07,873,Female,1,UK,1880,1971,91,June,6,Museum,0,Fenberg et al. (2016) ,3,,,,
17,Hesperia comma,-0.02,0.05,873,Female,1,UK,1880,1971,91,March,3,Museum,0,Fenberg et al. (2016) ,3,,,,
18,Hesperia comma,0.01,0.07,873,Female,1,UK,1880,1971,91,May,5,Museum,0,Fenberg et al. (2016) ,3,,,,
19,Hesperia comma,0.07,0.07,873,Female,1,UK,1880,1971,91,September,9,Museum,0,Fenberg et al. (2016) ,3,,,,
20,Lysandra bellargus,0.0394,0.0956,125,Female,1,UK,1912,1953,41,April,4,Museum,1,Wilson et al. (2019),13,,,,
21,Lysandra bellargus,-0.117,0.0754,125,Female,1,UK,1912,1953,41,March,3,Museum,1,Wilson et al. (2019),13,,,,
22,Lysandra bellargus,0.159,0.0523,125,Female,1,UK,1912,1953,41,May,5,Museum,1,Wilson et al. (2019),13,,,,
23,Lysandra bellargus,0.074,0.089,5715,Female,1,UK,1816,1994,178,April,4,Museum,1,Wilson et al. (2023),14,,,,
24,Lysandra bellargus,-0.069,0.075,5715,Female,1,UK,1816,1994,178,March,3,Museum,1,Wilson et al. (2023),14,,,,
